Collections,Sales,Buyers,Txns,Owners
Neo Tokyo Identities,"$56,228,401",835,"1,094","1,860"
Killer GF,"$55,006,616","7,553","16,238",
Shadowy Super Coder,"$54,703,926","2,947","7,573","1,460"
JRNY NFT Club,"$54,340,688","4,079","6,926","6,091"
DeGods,"$54,259,805","3,781","7,530","4,769"
MetaHero Universe Generative,"$53,918,962","1,824","3,032","3,033"
Kiwami,"$53,044,795","11,573","29,115",
CryptoBatz by Ozzy Osbourne,"$52,422,061","12,006","17,434",
Lil Heroes,"$52,072,354","4,882","9,448",
Crypto Bull Society,"$51,383,696","6,306","12,225",
HypeBears,"$51,251,584","17,468","26,328",
oncyber labs,"$50,366,550","7,341","13,063",
Tubby Cats,"$49,857,290","21,426","40,944",
Imaginary Ones,"$49,853,090","13,860","20,121",
CryptoMories,"$49,440,349","12,002","26,983","5,234"
Robotos Official,"$49,312,443","11,744","24,332","5,649"
Galaxy Eggs,"$49,290,892","8,350","18,549","4,751"
ZombieClub Token,"$48,653,052","7,070","10,671",
The Shiboshis,"$48,203,204","3,740","9,563","3,733"
CryptoKitties,"$48,148,423","116,746","798,356","116,056"
Autoglyphs,"$48,001,928",196,363,168
Town Star,"$47,993,295","9,235","32,827",1
Boss Beauties,"$47,953,969","10,524","21,549",
Treeverse,"$47,704,250","5,691","12,625","3,555"
Chain Runners,"$46,979,927","5,114","11,885","3,424"
My Pet Hooligan,"$46,207,934","9,160","16,880",
Akutars,"$46,015,677","2,749","5,602",
Desperate ApeWives,"$45,709,712","5,773","14,127","4,378"
ApeKidsClub,"$43,737,957","10,017","22,107",
The Humanoids,"$43,447,175","10,071","22,435","4,834"
The Sevens,"$42,693,390","6,279","12,056","3,496"
C-01 Official Collection,"$42,400,424","7,114","13,317",
Koala Intelligence Agency,"$42,306,839","8,954","19,202","5,044"
Forgotten Runes,"$41,969,182","4,713","14,379","3,072"
OxyaOriginProject,"$41,747,846","6,280","13,999",
Gods Unchained Immutable,"$41,633,472","40,055","5,459,565","147,683"
Cryptovoxels,"$41,395,612","3,033","11,580","2,333"
Quirkies,"$41,281,838","6,538","15,870",
MurakamiFlowers,"$40,976,254","1,928","2,907",
inbetweeners,"$40,546,428","7,176","13,853",
MOAR by Joan Cornella,"$40,429,026","5,226","9,191",
Alien Worlds,"$40,419,433","477,443","5,530,786","3,488,589"
n,"$40,290,072","5,100","12,911",
Pixel Vault Founders DAO,"$39,719,827","2,234","3,148",
Peaceful Groupies,"$39,544,947","8,993","21,005","3,844"
Jungle Freaks,"$38,546,984","7,543","12,851",
the littles NFT,"$38,145,397","9,286","18,630",
Panini America,"$37,814,003","13,773","775,275","12,298"
The CryptoDads,"$37,715,964","8,266","16,355","6,919"
Smilesss,"$37,582,005","9,348","17,742",
