Collections,Sales,Buyers,Txns,Owners
KaijuKingz,"$103,883,976","7,406","11,838",
Prime Ape Planet,"$103,627,956","8,786","16,630",
CyberBrokers,"$103,324,267","7,450","17,081",
Book Games,"$103,321,302","11,609","94,301","18,454"
LOSTPOETS,"$101,268,672","8,697","26,043","5,774"
World Of Women Galaxy,"$97,691,180","12,397","20,962",
The Doge Pound,"$96,946,832","8,401","16,677","5,448"
Lazy Lions,"$96,938,647","11,610","27,598","5,120"
DeadFellaz,"$96,096,121","13,339","27,356",
The n project,"$95,545,277","5,168","13,094","1,820"
3Landers,"$94,204,400","10,804","21,564",
Vox Collectibles,"$90,500,248","6,935","18,475","3,341"
Aurory,"$88,961,153","6,824","15,910","3,956"
ALIENFRENS,"$88,552,730","15,475","31,368",
Hashmasks,"$87,872,536","6,153","19,620","5,251"
Psychedelics Anonymous Genesis,"$84,045,227","14,304","23,498",
WebbLand,"$80,049,301","10,955","22,628",
Impostors Genesis,"$79,631,997","10,061","16,183",
Capsule,"$79,258,874","9,449","27,827",
CoolmansUniverse,"$78,925,506","12,920","28,360",
goblintown,"$78,109,780","10,318","29,291",
Sneaky Vampire Syndicate,"$74,421,638","6,989","16,035","4,631"
Sup Ducks,"$74,279,433","7,996","19,286","3,626"
Mooncats,"$73,098,578","9,025","24,717","6,532"
VeeFriends Series 2,"$72,979,660","11,937","22,070",
Adam Bomb Squad,"$72,250,626","14,565","39,383",
V1 Cryptopunks Wrapped,"$72,050,968",872,"1,915",
SuperNormalbyZipcy,"$70,291,093","5,782","12,977",
Pixelmon,"$69,628,078","9,667","18,479",
888 Inner Circle,"$69,543,192","6,397","14,718",1
Hero,"$67,935,297","7,459","12,841",
Frontier Game,"$66,466,767","8,144","20,962",
Metroverse City Block,"$66,195,950","7,362","18,707",
CryptoSkulls,"$66,043,047","9,705","22,462",
MURI,"$65,908,494","17,179","30,841",
Lives of Asuna,"$65,344,159","15,763","26,417",
Gutter Cat Gang,"$64,651,721","2,453","4,669",
The Currency Eth,"$63,947,563","1,819","2,770",
CryptoPhunksV2,"$63,591,161","4,929","15,773",
Rumble Kong League,"$62,088,929","5,035","12,947","3,171"
Arcade Land,"$61,890,671","9,703","19,644",
GalacticApes,"$60,681,177","8,102","21,070","3,638"
MutantCats,"$60,163,109","10,215","23,537","3,865"
FULL SEND METACARD,"$59,794,821","11,929","19,112",
Ethereum Name Service,"$59,661,725","21,010","53,386","432,097"
Nanopass,"$58,750,872","9,647","13,805",
Wolf Game,"$57,720,146","3,985","8,859","8,041"
Galactic Gecko Space Garage,"$57,573,024","9,176","28,231","4,010"
PROOF Collective,"$57,039,517","1,528","1,853",
Anonymice,"$56,786,450","4,116","9,519",
